timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673938774049,190,object_info_1,200,OK,HW_1_250 1-95,text,true,,235,168,87,87,http://162.55.220.72:5006/object_info_1?name=Sviatoslav&age=32&weight=105,190,0,87
1673938774050,191,object_info_4,200,OK,HW_1_250 1-59,text,true,,240,166,87,87,http://162.55.220.72:5006/object_info_4?name=Dominic&age=27&salary=3500,190,0,87
1673938774050,191,object_info_1,200,OK,HW_1_250 1-96,text,true,,235,168,87,87,http://162.55.220.72:5006/object_info_1?name=Sviatoslav&age=32&weight=105,191,0,87
1673938774050,199,user_info_2,200,OK,HW_1_250 1-119,text,true,,472,248,86,86,http://162.55.220.72:5006/user_info_2,199,0,87
1673938774050,205,object_info_3,200,OK,HW_1_250 1-69,text,true,,524,163,87,87,http://162.55.220.72:5006/object_info_3?name=Ivan&age=25&salary=2000,205,0,87
1673938774052,205,object_info_2,200,OK,HW_1_250 1-83,text,true,,480,164,87,87,http://162.55.220.72:5006/object_info_2?name=Artur&age=53&salary=5500,205,0,93
1673938774057,200,user_info_3,200,OK,HW_1_250 1-107,text,true,,370,245,87,87,http://162.55.220.72:5006/user_info_3,200,0,91
1673938774056,201,object_info_2,200,OK,HW_1_250 1-84,text,true,,480,164,87,87,http://162.55.220.72:5006/object_info_2?name=Artur&age=53&salary=5500,201,0,92
1673938774061,196,user_info_2,200,OK,HW_1_250 1-120,text,true,,472,248,87,87,http://162.55.220.72:5006/user_info_2,196,0,91
1673938774064,199,get_method,200,OK,HW_1_250 1-134,text,true,,169,149,87,87,http://162.55.220.72:5006/get_method?name=Slava&age=30,199,0,93
1673938774066,202,object_info_1,200,OK,HW_1_250 1-97,text,true,,235,168,87,87,http://162.55.220.72:5006/object_info_1?name=Sviatoslav&age=32&weight=105,202,0,96
1673938774070,198,object_info_3,200,OK,HW_1_250 1-70,text,true,,524,163,87,87,http://162.55.220.72:5006/object_info_3?name=Ivan&age=25&salary=2000,198,0,98
1673938774075,199,object_info_4,200,OK,HW_1_250 1-60,text,true,,240,166,88,88,http://162.55.220.72:5006/object_info_4?name=Dominic&age=27&salary=3500,199,0,94
1673938774077,203,object_info_1,200,OK,HW_1_250 1-98,text,true,,235,168,87,87,http://162.55.220.72:5006/object_info_1?name=Sviatoslav&age=32&weight=105,203,0,92
1673938774080,203,user_info_3,200,OK,HW_1_250 1-108,text,true,,370,245,87,87,http://162.55.220.72:5006/user_info_3,203,0,98
